"Step","LunarLander_with_labels_1000_good_reward - episode_reward","LunarLander_with_labels_1000_good_reward - episode_reward__MIN","LunarLander_with_labels_1000_good_reward - episode_reward__MAX"
"372","-136.11539863843578","-136.11539863843578","-136.11539863843578"
"373","-313.34265675096674","-313.34265675096674","-313.34265675096674"
"374","-41.62989873511791","-41.62989873511791","-41.62989873511791"
"375","-257.33787421341293","-257.33787421341293","-257.33787421341293"
"376","-338.54330908373","-338.54330908373","-338.54330908373"
"377","-388.82354517921095","-388.82354517921095","-388.82354517921095"
"378","-98.81677056863903","-98.81677056863903","-98.81677056863903"
"379","-198.75410174992226","-198.75410174992226","-198.75410174992226"
"380","-292.47819083226125","-292.47819083226125","-292.47819083226125"
"381","-312.5678599404232","-312.5678599404232","-312.5678599404232"
"382","-301.21930823894866","-301.21930823894866","-301.21930823894866"
"383","-459.21388699948784","-459.21388699948784","-459.21388699948784"
"384","-65.50874486729504","-65.50874486729504","-65.50874486729504"
"385","-232.9701030319825","-232.9701030319825","-232.9701030319825"
"386","-198.99021501252906","-198.99021501252906","-198.99021501252906"
"387","-228.68658021382723","-228.68658021382723","-228.68658021382723"
"388","-498.3398672297623","-498.3398672297623","-498.3398672297623"
"389","-344.9980649069233","-344.9980649069233","-344.9980649069233"
"390","-84.684628237883","-84.684628237883","-84.684628237883"
"391","-526.3230001240479","-526.3230001240479","-526.3230001240479"
"392","-339.3505503550905","-339.3505503550905","-339.3505503550905"
"393","-603.4845512000479","-603.4845512000479","-603.4845512000479"
"394","-302.60309610644356","-302.60309610644356","-302.60309610644356"
"395","-551.6494512918592","-551.6494512918592","-551.6494512918592"
"396","-317.69309582793426","-317.69309582793426","-317.69309582793426"
"397","-302.7324472198611","-302.7324472198611","-302.7324472198611"
"398","-556.9997064577497","-556.9997064577497","-556.9997064577497"
"399","-210.55279615072521","-210.55279615072521","-210.55279615072521"
"400","-232.5974037119464","-232.5974037119464","-232.5974037119464"
"401","-325.337491764019","-325.337491764019","-325.337491764019"
"402","-430.14074899560825","-430.14074899560825","-430.14074899560825"
"403","-74.41242686256766","-74.41242686256766","-74.41242686256766"
"404","-268.58518885135743","-268.58518885135743","-268.58518885135743"
"405","-294.523962407176","-294.523962407176","-294.523962407176"
"406","-336.6736390800446","-336.6736390800446","-336.6736390800446"
"407","-404.9713287402441","-404.9713287402441","-404.9713287402441"
"408","-398.9492001047956","-398.9492001047956","-398.9492001047956"
"409","-89.97020729213658","-89.97020729213658","-89.97020729213658"
"410","-161.9999919390997","-161.9999919390997","-161.9999919390997"
"411","-341.79424958378695","-341.79424958378695","-341.79424958378695"
"412","-84.61845283936171","-84.61845283936171","-84.61845283936171"
"413","-413.7714614143528","-413.7714614143528","-413.7714614143528"
"414","-325.4968981740848","-325.4968981740848","-325.4968981740848"
"415","-339.61171231014674","-339.61171231014674","-339.61171231014674"
"416","-339.2092463180954","-339.2092463180954","-339.2092463180954"
"417","-274.17252887072453","-274.17252887072453","-274.17252887072453"
"418","-457.34290239931664","-457.34290239931664","-457.34290239931664"
"419","-87.34430144771933","-87.34430144771933","-87.34430144771933"
"420","-350.8268249961734","-350.8268249961734","-350.8268249961734"
"421","-93.56333720885218","-93.56333720885218","-93.56333720885218"
"422","-591.6626868902147","-591.6626868902147","-591.6626868902147"
"423","-241.53079843501703","-241.53079843501703","-241.53079843501703"
"424","-219.89825254463557","-219.89825254463557","-219.89825254463557"
"425","-352.7095806628787","-352.7095806628787","-352.7095806628787"
"426","-297.8013858131013","-297.8013858131013","-297.8013858131013"
"427","-304.91627934046073","-304.91627934046073","-304.91627934046073"
"428","-274.6044796351366","-274.6044796351366","-274.6044796351366"
"429","-125.86707545954734","-125.86707545954734","-125.86707545954734"
"430","-361.3866921650748","-361.3866921650748","-361.3866921650748"
"431","-299.3286634470472","-299.3286634470472","-299.3286634470472"
"432","-237.58895568499568","-237.58895568499568","-237.58895568499568"
"433","-185.35116402123123","-185.35116402123123","-185.35116402123123"
